Count,Date,Hour,Month,Game.Day
17,2018-09-22,22,9,0
11,2018-09-22,23,9,0
27,2018-09-29,12,9,1
18,2018-09-29,13,9,1
23,2018-09-29,14,9,1
20,2018-09-29,15,9,1
16,2018-09-29,16,9,1
9,2018-09-29,17,9,1
18,2018-09-29,18,9,1
26,2018-09-29,19,9,1
24,2018-09-29,20,9,1
22,2018-09-29,21,9,1
25,2018-09-29,22,9,1
17,2018-09-29,23,9,1
19,2018-10-06,12,10,0
13,2018-10-06,13,10,0
8,2018-10-06,14,10,0
11,2018-10-06,15,10,0
14,2018-10-06,16,10,0
26,2018-10-06,17,10,0
20,2018-10-06,18,10,0
12,2018-10-06,19,10,0
10,2018-10-06,20,10,0
9,2018-10-06,21,10,0
12,2018-10-06,22,10,0
12,2018-10-06,23,10,0
19,2018-10-13,12,10,0
13,2018-10-13,13,10,0
10,2018-10-13,14,10,0
26,2018-10-13,15,10,0
14,2018-10-13,16,10,0
17,2018-10-13,17,10,0
17,2018-10-13,18,10,0
8,2018-10-13,19,10,0
14,2018-10-13,20,10,0
9,2018-10-13,21,10,0
3,2018-10-13,22,10,0
10,2018-10-13,23,10,0
20,2018-10-20,12,10,1
27,2018-10-20,13,10,1
22,2018-10-20,14,10,1
18,2018-10-20,15,10,1
20,2018-10-20,16,10,1
26,2018-10-20,17,10,1
22,2018-10-20,18,10,1
27,2018-10-20,19,10,1
33,2018-10-20,20,10,1
23,2018-10-20,21,10,1
23,2018-10-20,22,10,1
13,2018-10-20,23,10,1
15,2018-10-27,12,10,0
12,2018-10-27,13,10,0
15,2018-10-27,14,10,0
12,2018-10-27,15,10,0
19,2018-10-27,16,10,0
15,2018-10-27,17,10,0
11,2018-10-27,18,10,0
10,2018-10-27,19,10,0
15,2018-10-27,20,10,0
26,2018-10-27,21,10,0
17,2018-10-27,22,10,0
10,2018-10-27,23,10,0
16,2018-11-03,12,11,1
20,2018-11-03,13,11,1
21,2018-11-03,14,11,1
13,2018-11-03,15,11,1
31,2018-11-03,16,11,1
17,2018-11-03,17,11,1
28,2018-11-03,18,11,1
11,2018-11-03,19,11,1
16,2018-11-03,20,11,1
11,2018-11-03,21,11,1
12,2018-11-03,22,11,1
20,2018-11-03,23,11,1
19,2018-11-10,12,11,0
11,2018-11-10,13,11,0
12,2018-11-10,14,11,0
10,2018-11-10,15,11,0
20,2018-11-10,16,11,0
